timestamp_amostra_ms,valor_adc,tensao_mv,sinal_controle,tensao_estimada_mv,erro_obs_mv
364402,6,4,0.0,148.3,-144.3
364412,5,3,0.0,147.87,-144.87
364422,6,4,0.0,146.96,-142.96
364432,4,2,0.0,147.48,-145.48
364442,4,2,0.0,146.11,-144.11
364452,5,3,0.0,145.77,-142.77
364462,5,3,0.0,146.48,-143.48
364472,5,3,0.0,146.69,-143.69
364482,5,3,0.0,146.74,-143.74
364492,6,4,0.0,146.75,-142.75
364502,4,2,0.0,147.5,-145.5
364512,5,3,0.0,146.17,-143.17
364522,5,3,0.0,146.57,-143.57
364532,5,3,0.0,146.7,-143.7
364542,5,3,0.0,146.73,-143.73
364552,5,3,0.0,146.74,-143.74
364562,5,3,0.0,146.74,-143.74
364572,5,3,0.0,146.73,-143.73
364582,5,3,0.0,146.73,-143.73
364592,4,2,0.0,146.73,-144.73
364602,6,4,0.0,145.97,-141.97
364612,5,3,0.0,147.3,-144.3
364622,5,3,0.0,146.89,-143.89
364632,7,5,0.0,146.77,-141.77
364642,5,3,0.0,148.25,-145.25
364652,5,3,0.0,147.1,-144.1
364662,5,3,0.0,146.77,-143.77
364672,5,3,0.0,146.7,-143.7
364682,5,3,0.0,146.7,-143.7
364692,5,3,0.0,146.71,-143.71
364702,6,4,0.0,146.72,-142.72
364712,5,3,0.0,147.48,-144.48
364722,5,3,0.0,146.91,-143.91
364732,1,0,0.0,146.75,-146.75
364742,5,3,0.0,144.44,-141.44
364752,5,3,0.0,146.15,-143.15
364762,5,3,0.0,146.65,-143.65
364772,5,3,0.0,146.77,-143.77
364782,5,3,0.0,146.78,-143.78
364792,0,0,0.0,146.76,-146.76
364802,4,2,0.0,144.48,-142.48
364812,5,3,0.0,145.42,-142.42
364822,6,4,0.0,146.48,-142.48
364832,4,2,0.0,147.51,-145.51
364842,7,5,0.0,146.22,-141.22
364852,5,3,0.0,148.13,-145.13
364862,5,3,0.0,147.1,-144.1
364872,5,3,0.0,146.79,-143.79
364882,5,3,0.0,146.72,-143.72
364892,6,4,0.0,146.71,-142.71
364902,3,1,0.0,147.47,-146.47
364912,4,2,0.0,145.39,-143.39
364922,5,3,0.0,145.62,-142.62
364932,5,3,0.0,146.48,-143.48
364942,5,3,0.0,146.72,-143.72
364952,5,3,0.0,146.77,-143.77
364962,5,3,0.0,146.76,-143.76
364972,5,3,0.0,146.75,-143.75
364982,4,2,0.0,146.74,-144.74
364992,6,4,0.0,145.98,-141.98
365002,5,3,0.0,147.3,-144.3
365012,5,3,0.0,146.9,-143.9
365022,5,3,0.0,146.77,-143.77
365032,5,3,0.0,146.73,-143.73
365042,7,5,0.0,146.73,-141.73
365052,5,3,0.0,148.24,-145.24
365062,5,3,0.0,147.1,-144.1
365072,0,0,0.0,146.77,-146.77
365082,5,3,0.0,144.43,-141.43
365092,6,4,0.0,146.14,-142.14
365102,5,3,0.0,147.4,-144.4
365112,5,3,0.0,146.95,-143.95
365122,5,3,0.0,146.79,-143.79
365132,4,2,0.0,146.75,-144.75
365142,4,2,0.0,145.97,-143.97
365152,5,3,0.0,145.78,-142.78
365162,5,3,0.0,146.52,-143.52
365172,5,3,0.0,146.72,-143.72
365182,5,3,0.0,146.76,-143.76
365193,6,4,0.0,146.76,-142.76
365202,5,3,0.0,147.51,-144.51
365212,5,3,0.0,146.93,-143.93
365222,5,3,0.0,146.76,-143.76
365232,6,4,0.0,146.72,-142.72
365242,5,3,0.0,147.47,-144.47
365252,5,3,0.0,146.91,-143.91
365262,6,4,0.0,146.75,-142.75
365272,6,4,0.0,147.47,-143.47
365282,5,3,0.0,147.66,-144.66
365292,5,3,0.0,146.93,-143.93
365302,7,5,0.0,146.73,-141.73
365312,6,4,0.0,148.21,-144.21
365322,6,4,0.0,147.83,-143.83
365332,6,4,0.0,147.7,-143.7
365342,5,3,0.0,147.66,-144.66
365352,5,3,0.0,146.89,-143.89
365362,6,4,0.0,146.7,-142.7
365372,7,5,0.0,147.43,-142.43
365382,7,5,0.0,148.39,-143.39
365392,6,4,0.0,148.62,-144.62
